Nodes	Genes
Acidosis	Not_assigned
AKT	AKT1
AMP_ATP	Not_assigned
AMPK	PRKAA1
Androgen	Not_assigned
Apoptosis	Not_assigned
AR	Not_assigned
ATMATM
ATRATR
AXIN1	AXIN1
BADBAD
Bak	BAK1
BAX	BAX
BCL2	BCL2
Bcl_XL	BCL2L1
beta_catenin	CTNNB1
BIRC5	BIRC5
BRCA1	BRCA1
BRCA2	BRCA2
Carcinogen Not_assigned
Caspase8	CASP8
Caspase9	CASP9
CDH2	CDH2
cFLAR	CFLAR
CHK1_2	CHEK1
COX4I2	COX4I2
CyclinB	CCNB1
CyclinD	CCND2
CytoC	APOC2
APAF1	APAF1
DAXX	DAXX
DNA_Damage	Not_assigned
DNA_Repair	Not_assigned
Dsh	DSH
E2F1	E2F1
E_cadherin	CDH1
eEF2	EEF2
eEF2K	EEF2K
EMT	Not_assigned
EP300	EP300
ERG	ERG
ERK	MAPK1
ETS1	ETS1
ETV1	ETV1
EZH2	EZH2
FADD	FAD
FOS	FOS
JUN	JUN
FOXA1	FOXA1
FOXO	FOXO
EGFEGF
EGFR	EGFR
FGFFGF
FGFR3	FGFR3
FRS2	FRS2
GADD45	GADD45
GLI	GLI
GLUT1	GLUT1
GSH	GSH
GSK3	GSK3
HIF1	HIF1
HSPs	Not_assigned
Hypoxia	Not_assigned
IDH1	IDH1
Invasion	Not_assigned
IKK	IKBKB
JNK	MAPK8
Lactic_acid	Not_assigned
LDHA	LDHA
MAP3K1_3	MAP3K1
MDM2	MDM2
MED12	MED12
MEK1_2MAP2K1
Metastasis	Not_assigned
Migration	Not_assigned
ZBTB17	ZBTB17
mTORC2	MTOR
MXI1	MXI1
MYC	MYC
MYC_MAX	MAX
NCOA3	NCOA3
NCOR1	NCOR1
NCOR2	NCOR2
NF1	NF1
NF_kB	NFKB1
Nutrients	Not_assigned
p14ARF	CDKN2A
p15	CDKN2B
p21	CDKN1A
p38	MAPK14
p53	TP53
p70S6kab	RPS6KB1
p90RSK	RPS6KA1
PDK1	PDK1
PHDs	UHRF1
PI3K	PIK3CA
PIP3
PKC	PRKCA
Proliferation	Not_assigned
PTCH1	PTCH1
PTEN	PTEN
RAFBRAF
RAGS	Not_assigned
RAS	KRAS
RB1	RB1
Rheb	RHEB
ROS	Not_assigned
RTK	RTK
RUNX2	RUNX2
SHH	SHH
Slug	SLUG
SMAD	SMAD4
SMO	SMO
Snail	SNAI1
SPOP	SPOP
TAK1	TAK1
TCFTCF
TERT	TERT
TGFb	TGFB1
TGFBR	TGFBR1
fused_event	Not_assigned
TNFalpha	TNF
TSC1_2	TSC1
TWIST1	TWIST1
VEGF	VEGF
VHL	VHL
WNT	WNT
YWHAZ	YWHAZ
AR_ERG	Not_assigned
BMP2	BMP2
Caspase3	CASP3
NKX3_1	NKX3
mTORC1	MTORC1